Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
72,Rashee Rice,KC,Chiefs,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.7,812.7,6.2,1.5,0.9,117.8,0,0,0,0,0,0,0,0,0,1.5,6.8,0,68.7,0.9,117.8,Ninjas
73,Kyler Murray,ARI,Cardinals,11,QB,0,0,0,0,530.3,353.2,3679,21.8,12.3,2.6,298.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Next Year
74,George Kittle,SF,49ers,9,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4,879.7,6,0.4,123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,65.4,0.4,123.2,DirtDogs
75,Jordan Love,GB,Packers,10,QB,0,0,0,0,543.1,353.5,3973.5,29.2,11.6,3,292.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatDats
76,David Montgomery,DET,Lions,5,RB,0,0,0,0,0,0,0,0,0,0,0,203.9,893.2,9.8,22,0.9,168.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.9,893.2,9.8,22,0.9,168.1,Undrafted
77,D'Andre Swift,CHI,Bears,7,RB,0,0,0,0,0,0,0,0,0,0,0,198.7,879.7,5.7,37.7,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.7,879.7,5.7,37.7,1,156,Undrafted
78,Diontae Johnson,CAR,Panthers,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,872.7,5.6,1,0.6,120.6,0,0,0,0,0,0,0,0,0,1,7,0,70,0.6,120.6,Undrafted
79,DeAndre Hopkins,TEN,Titans,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,938.6,6,0.3,0.6,129.2,0,0,0,0,0,0,0,0,0,0.3,3,0,70.5,0.6,129.2,Undrafted
80,Zamir White,LV,Raiders,10,RB,0,0,0,0,0,0,0,0,0,0,0,229.9,969.5,5.6,34.2,1.3,156.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.9,969.5,5.6,34.2,1.3,156.9,Next Year
81,James Conner,ARI,Cardinals,11,RB,0,0,0,0,0,0,0,0,0,0,0,201.6,882.7,6.6,32.6,0.9,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.6,882.7,6.6,32.6,0.9,157.2,DirtDogs
82,Christian Watson,GB,Packers,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,781.3,7.2,4.8,0.5,124.8,0,0,0,0,0,0,0,0,0,4.8,26.4,0.4,53.8,0.5,124.8,Americas Ass
83,Jaylen Warren,PIT,Steelers,9,RB,0,0,0,0,0,0,0,0,0,0,0,145.2,696.2,3.9,48.4,1.4,133.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,696.2,3.9,48.4,1.4,133.7,Undrafted
84,Zack Moss,CIN,Bengals,12,RB,0,0,0,0,0,0,0,0,0,0,0,190.2,805.4,6.3,29.9,0.5,146.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.2,805.4,6.3,29.9,0.5,146.4,Undrafted
85,Jordan Addison,MIN,Vikings,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,874.2,6.3,0.3,0.5,124.5,0,0,0,0,0,0,0,0,0,0.3,4,0,68,0.5,124.5,Hokie High
86,Ladd McConkey,LAC,Chargers,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,822.1,4.8,1.1,0.8,110.3,0,0,0,0,0,0,0,0,0,1.1,6.7,0,66.1,0.8,110.3,Undrafted
87,Jake Ferguson,DAL,Cowboys,7,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7,737.5,5.9,0.4,108.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7,0.4,108.3,Ninjas
88,Raheem Mostert,MIA,Dolphins,6,RB,0,0,0,0,0,0,0,0,0,0,0,168.8,799.4,8.4,26.2,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8,799.4,8.4,26.2,1,156,Hokie High
89,Jonathon Brooks,CAR,Panthers,11,RB,0,0,0,0,0,0,0,0,0,0,0,196.3,840,5.2,30.4,1.6,141.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.3,840,5.2,30.4,1.6,141.6,Undrafted
90,Tony Pollard,TEN,Titans,5,RB,0,0,0,0,0,0,0,0,0,0,0,189.5,809.4,5.6,33.5,0.9,140.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.5,809.4,5.6,33.5,0.9,140.6,WhatDats
91,Jaxon Smith-Njigba,SEA,Seahawks,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,769.8,5.3,0,0.6,108,0,0,0,0,0,0,0,0,0,0,2,0,70.3,0.6,108,Sentinels
